# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 364K of event 'cpu/cycles/P'
# Event count (approx.): 245777062108
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  .......................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] rb_erase
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _raw_spin_unlock
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] psi_task_switch
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] lruvec_stat_mod_folio
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     0.00%  point_cloud_col  libstdc++.so.6.0.35      [.] operator new(unsigned long)
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] try_charge_memcg
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __remove_hrtimer
     0.00%  point_cloud_col  libm.so.6                [.] exp@@GLIBC_2.29
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] handle_mm_fault
     0.00%  point_cloud_col  libm.so.6                [.] __ieee754_log_fma
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] hrtimer_update_next_event
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _raw_spin_unlock_irqrestore
     0.00%  point_cloud_col  libc.so.6                [.] __libc_malloc2
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] rb_insert_color
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __common_interrupt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _raw_spin_lock_irq
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] propagate_entity_load_avg
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] idle_cpu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] update_rq_clock
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __rcu_read_lock
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] alloc_anon_folio
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sched_clock_cpu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] gen8_irq_handler
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __sched_balance_update_blocked_averages
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] irq_work_tick
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] rmqueue_bulk
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] put_prev_entity
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] check_update_overutilized_status
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _find_first_bit
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] get_vma_policy
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __smp_call_single_queue
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] lock_vma_under_rcu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] xhci_update_erst_dequeue
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] handle_pte_fault
     0.00%  point_cloud_col  point_cloud_collimation  [.] sincos@plt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] tmigr_handle_remote_up
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sched_clock
